Unnamed: 0.1,Text,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Category,Clean_Text,Date
0, Enjoying a beautiful day at the park!              ,positive,2023-01-15 12:30:00,Twitter,"['nature', 'park']",15,30, USA      ,2023,1,15,12,positive, enjoying a beautiful day at the park              ,2023-01-15
1, Traffic was terrible this morning.                 ,negative,2023-01-15 08:45:00,Twitter,"['traffic', 'morning']",5,10, Canada   ,2023,1,15,8,negative, traffic was terrible this morning                 ,2023-01-15
2, Just finished an amazing workout! 💪               ,positive,2023-01-15 15:45:00,Instagram,"['fitness', 'workout']",20,40, USA        ,2023,1,15,15,positive, just finished an amazing workout                ,2023-01-15
3, Excited about the upcoming weekend getaway!        ,positive,2023-01-15 18:20:00,Facebook,"['travel', 'adventure']",8,15, UK       ,2023,1,15,18,positive, excited about the upcoming weekend getaway        ,2023-01-15
4, Trying out a new recipe for dinner tonight.        ,neutral,2023-01-15 19:55:00,Instagram,"['cooking', 'food']",12,25, Australia ,2023,1,15,19,neutral, trying out a new recipe for dinner tonight        ,2023-01-15
5, Feeling grateful for the little things in life.    ,positive,2023-01-16 09:10:00,Twitter,"['gratitude', 'positivevibes']",25,50, India    ,2023,1,16,9,positive, feeling grateful for the little things in life    ,2023-01-16
6, Rainy days call for cozy blankets and hot cocoa.   ,positive,2023-01-16 14:45:00,Facebook,"['rainydays', 'cozy']",10,20, Canada   ,2023,1,16,14,positive, rainy days call for cozy blankets and hot cocoa   ,2023-01-16
7, The new movie release is a must-watch!             ,positive,2023-01-16 19:30:00,Instagram,"['movienight', 'mustwatch']",15,30, USA    ,2023,1,16,19,positive, the new movie release is a mustwatch             ,2023-01-16
8, Political discussions heating up on the timeline.  ,negative,2023-01-17 08:00:00,Twitter,"['politics', 'debate']",30,60, USA      ,2023,1,17,8,negative, political discussions heating up on the timeline  ,2023-01-17
9, Missing summer vibes and beach days.               ,neutral,2023-01-17 12:20:00,Facebook,"['summer', 'beachdays']",18,35, Australia ,2023,1,17,12,neutral, missing summer vibes and beach days               ,2023-01-17
10, Just published a new blog post. Check it out!      ,positive,2023-01-17 15:15:00,Instagram,"['blogging', 'newpost']",22,45,USA,2023,1,17,15,positive, just published a new blog post check it out      ,2023-01-17
11, Feeling a bit under the weather today.             ,negative,2023-01-18 10:30:00,Twitter,"['sickday', 'health']",7,15, Canada   ,2023,1,18,10,negative, feeling a bit under the weather today             ,2023-01-18
12, Exploring the city's hidden gems.                  ,positive,2023-01-18 14:50:00,Facebook,"['cityexplore', 'hiddengems']",12,25, UK       ,2023,1,18,14,positive, exploring the citys hidden gems                  ,2023-01-18
13," New year, new fitness goals! 💪                    ",positive,2023-01-18 18:00:00,Instagram,"['newyear', 'fitnessgoals']",28,55, USA        ,2023,1,18,18,positive, new year new fitness goals                     ,2023-01-18
14, Technology is changing the way we live.            ,neutral,2023-01-19 09:45:00,Twitter,"['tech', 'innovation']",15,30, India    ,2023,1,19,9,neutral, technology is changing the way we live            ,2023-01-19
15, Reflecting on the past and looking ahead.          ,positive,2023-01-19 13:20:00,Facebook,"['reflection', 'future']",20,40, USA      ,2023,1,19,13,positive, reflecting on the past and looking ahead          ,2023-01-19
16, Just adopted a cute furry friend! 🐾              ,positive,2023-01-19 17:10:00,Instagram,"['petadoption', 'furryfriend']",15,30, Canada    ,2023,1,19,17,positive, just adopted a cute furry friend               ,2023-01-19
17, Late-night gaming session with friends.            ,positive,2023-01-20 00:05:00,Twitter,"['gaming', 'latenight']",18,35, UK       ,2023,1,20,0,positive, latenight gaming session with friends            ,2023-01-20
18, Attending a virtual conference on AI.              ,neutral,2023-01-20 11:30:00,Facebook,"['ai', 'techconference']",25,50,USA,2023,1,20,11,neutral, attending a virtual conference on ai              ,2023-01-20
19, Winter blues got me feeling low.                   ,negative,2023-01-20 15:15:00,Instagram,"['winterblues', 'mood']",8,15, USA       ,2023,1,20,15,negative, winter blues got me feeling low                   ,2023-01-20
20, Sipping coffee and enjoying a good book.           ,positive,2023-01-21 08:40:00,Twitter,"['reading', 'coffeetime']",22,45, India    ,2023,1,21,8,positive, sipping coffee and enjoying a good book           ,2023-01-21
21, Exploring the world of virtual reality.            ,positive,2023-01-21 13:20:00,Facebook,"['vr', 'virtualreality']",15,30,USA,2023,1,21,13,positive, exploring the world of virtual reality            ,2023-01-21
22, Productive day ticking off my to-do list.          ,positive,2023-01-21 16:45:00,Instagram,"['productivity', 'workfromhome']",30,60, USA ,2023,1,21,16,positive, productive day ticking off my todo list          ,2023-01-21
23, Just finished a challenging workout routine.       ,positive,2023-01-22 09:15:00,Twitter,"['fitness', 'challengeaccepted']",20,40, UK       ,2023,1,22,9,positive, just finished a challenging workout routine       ,2023-01-22
24, Celebrating a milestone at work! 🎉               ,positive,2023-01-22 14:30:00,Facebook,"['career', 'milestone']",12,25, Canada  ,2023,1,22,14,positive, celebrating a milestone at work                ,2023-01-22
25, Sunday brunch with friends.                        ,positive,2023-01-22 12:00:00,Instagram,"['brunch', 'friends']",15,30, UK ,2023,1,22,12,positive, sunday brunch with friends                        ,2023-01-22
27, Learning a new language for personal growth.       ,positive,2023-01-23 16:20:00,Facebook,"['languagelearning', 'personalgrowth']",25,50, India     ,2023,1,23,16,positive, learning a new language for personal growth       ,2023-01-23
28, Quiet evening with a good book.                    ,positive,2023-01-23 19:45:00,Instagram,"['reading', 'quiettime']",15,30, Australia ,2023,1,23,19,positive, quiet evening with a good book                    ,2023-01-23
29, Reflecting on the importance of mental health.     ,positive,2023-01-24 11:30:00,Twitter,"['mentalhealth', 'selfcare']",22,45, USA      ,2023,1,24,11,positive, reflecting on the importance of mental health     ,2023-01-24
30, New painting in progress! 🎨                       ,positive,2023-01-24 15:00:00,Facebook,"['art', 'paintinginprogress']",12,25, Canada ,2023,1,24,15,positive, new painting in progress                        ,2023-01-24
31, Weekend road trip to explore scenic views.         ,positive,2023-01-24 17:30:00,Instagram,"['roadtrip', 'scenicviews']",18,35, UK        ,2023,1,24,17,positive, weekend road trip to explore scenic views         ,2023-01-24
32, Enjoying a cup of tea and watching the sunset.     ,positive,2023-01-25 18:00:00,Twitter,"['teatime', 'sunset']",15,30, India    ,2023,1,25,18,positive, enjoying a cup of tea and watching the sunset     ,2023-01-25
33, Coding a new project with enthusiasm.              ,positive,2023-01-25 13:15:00,Facebook,"['coding', 'enthusiasm']",30,60, USA ,2023,1,25,13,positive, coding a new project with enthusiasm              ,2023-01-25
34, Feeling inspired after attending a workshop.       ,positive,2023-01-26 09:45:00,Instagram,"['inspiration', 'workshop']",25,50,USA,2023,1,26,9,positive, feeling inspired after attending a workshop       ,2023-01-26
35, Winter sports day at the local park.               ,positive,2023-01-26 14:20:00,Twitter,"['wintersports', 'fun']",15,30, Canada   ,2023,1,26,14,positive, winter sports day at the local park               ,2023-01-26
36, Quality time with family this weekend.             ,positive,2023-01-26 17:40:00,Facebook,"['familytime', 'weekend']",22,45, UK        ,2023,1,26,17,positive, quality time with family this weekend             ,2023-01-26
37, Attending a live music concert tonight.            ,positive,2023-01-27 20:00:00,Instagram,"['music', 'concertnight']",18,35, USA ,2023,1,27,20,positive, attending a live music concert tonight            ,2023-01-27
38, Practicing mindfulness with meditation.            ,positive,2023-01-27 12:30:00,Twitter,"['mindfulness', 'meditation']",15,30, India    ,2023,1,27,12,positive, practicing mindfulness with meditation            ,2023-01-27
39, Trying out a new dessert recipe.                   ,positive,2023-01-27 16:10:00,Facebook,"['dessert', 'cooking']",12,25, Canada ,2023,1,27,16,positive, trying out a new dessert recipe                   ,2023-01-27
